id,title,genre,plot,imdbRating,Year,Country,Language
1,Toy Story (1995),Animation|Children's|Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,1995,USA,English
2,Jumanji (1995),Adventure|Children's|Fantasy,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",6.9,1995,USA,"English, French"
3,Grumpier Old Men (1995),Comedy|Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",6.6,1995,USA,English
4,Waiting to Exhale (1995),Comedy|Drama,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",5.7,1995,USA,English
5,Father of the Bride Part II (1995),Comedy,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",5.9,1995,USA,English
6,Heat (1995),Action|Crime|Thriller,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,8.2,1995,USA,"English, Spanish"
7,Sabrina (1995),Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3,1995,"Germany, USA","English, French"
8,Tom and Huck (1995),Adventure|Children's,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",5.6,1995,USA,English
9,Sudden Death (1995),Action,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,5.7,1995,USA,English
10,GoldenEye (1995),Action|Adventure|Thriller,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,7.2,1995,"UK, USA","English, Russian, Spanish"
11,"American President, The (1995)",Comedy|Drama|Romance,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway.",6.8,1995,USA,"English, French"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,5.8,1995,"USA, France","English, German"
13,Balto (1995),Animation|Children's,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1,1995,USA,English
14,Nixon (1995),Drama,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",7.1,1995,USA,"English, Mandarin, Russian"
15,Cutthroat Island (1995),Action|Adventure|Romance,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,5.6,1995,"USA, France, Italy, Germany",English
16,Casino (1995),Drama|Thriller,"Greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a former sports handicapper turned casino executive, for a trophy wife over a gambling empire.",8.2,1995,"France, USA",English
17,Sense and Sensibility (1995),Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",7.7,1995,"USA, UK","English, French"
18,Four Rooms (1995),Thriller,Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.7,1995,USA,English
19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.3,1995,USA,English
20,Money Train (1995),Action,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",5.6,1995,USA,English
21,Get Shorty (1995),Action|Comedy|Drama,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,6.9,1995,USA,English
22,Copycat (1995),Crime|Drama|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,6.6,1995,USA,English
23,Assassins (1995),Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3,1995,"France, USA","English, Dutch, Spanish"
24,Powder (1995),Drama|Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,6.5,1995,USA,English
25,Leaving Las Vegas (1995),Drama|Romance,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.6,1995,USA,"English, Russian"
26,Othello (1995),Drama,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,7.0,1995,"USA, UK",English
27,Now and Then (1995),Drama,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,6.8,1995,USA,English
28,Persuasion (1995),Romance,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",7.7,1995,"UK, USA, France",English
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.7,1995,"France, Germany, Spain","French, Cantonese"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.2,1995,"France, China",Mandarin
31,Dangerous Minds (1995),Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,6.4,1995,USA,English
32,Twelve Monkeys (1995),Drama|Sci-Fi,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.0,1995,USA,"English, French"
33,Wings of Courage (1995),Adventure|Romance,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",6.5,1995,"USA, France",English
34,Babe (1995),Children's|Comedy|Drama,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",6.8,1995,"Australia, USA",English
35,Carrington (1995),Drama|Romance,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,6.9,1995,"UK, France",English
36,Dead Man Walking (1995),Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.6,1995,"UK, USA",English
37,Across the Sea of Time (1995),Documentary,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",6.4,1995,USA,"English, Russian"
38,It Takes Two (1995),Comedy,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",5.7,1995,USA,English
39,Clueless (1995),Comedy|Romance,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",6.8,1995,USA,"English, Spanish"
40,"Cry, the Beloved Country (1995)",Drama,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,6.9,1995,"South Africa, USA",English
41,Richard III (1995),Drama|War,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,7.5,1995,"UK, USA",English
42,Dead Presidents (1995),Action|Crime|Drama,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.8,1995,USA,English
